match_id,participantId,itemId,time_stamp
KR_5372684240,4,1056,5967
KR_5372684240,4,2003,6861
KR_5372684240,4,2003,6993
KR_5372684240,4,3340,7323
KR_5372684240,1,2003,7784
KR_5372684240,1,3340,7918
KR_5372684240,1,1055,8514
KR_5372684240,10,3850,9905
KR_5372684240,10,2003,10234
KR_5372684240,10,2003,10333
KR_5372684240,7,1035,10564
KR_5372684240,9,1036,10994
KR_5372684240,7,2031,11094
KR_5372684240,9,3340,11323
KR_5372684240,7,3340,11356
KR_5372684240,2,1039,11389
KR_5372684240,9,2003,11655
KR_5372684240,9,2003,11820
KR_5372684240,2,2031,11820
KR_5372684240,9,2003,11985
KR_5372684240,2,3340,12052
KR_5372684240,3,3340,13142
KR_5372684240,3,2033,13405
KR_5372684240,5,3854,13802
KR_5372684240,1,2003,14067
KR_5372684240,1,2003,14200
KR_5372684240,1,2003,14331
KR_5372684240,5,2003,14430
KR_5372684240,1,3340,14594
KR_5372684240,5,2003,14660
KR_5372684240,5,3364,15090
KR_5372684240,1,1036,15123
KR_5372684240,8,2033,16308
KR_5372684240,6,1036,24579
KR_5372684240,6,2003,25209
KR_5372684240,6,2003,25343
KR_5372684240,6,2003,25542
KR_5372684240,6,3340,25872
KR_5372684240,10,3364,43130
KR_5372684240,2,3364,68285
KR_5372684240,9,1001,184575
KR_5372684240,1,3070,195124
KR_5372684240,6,1036,195222
KR_5372684240,6,1036,195354
KR_5372684240,1,2055,195388
KR_5372684240,8,3070,199849
KR_5372684240,10,1001,200543
KR_5372684240,10,2055,200774
KR_5372684240,2,1036,208288
KR_5372684240,2,1028,208519
KR_5372684240,4,1056,210269
KR_5372684240,4,2031,210665
KR_5372684240,5,1001,210731
KR_5372684240,3,1082,212615
KR_5372684240,3,1052,213011
KR_5372684240,5,1028,213177
KR_5372684240,4,1052,217568
KR_5372684240,4,2031,218196
KR_5372684240,5,2003,218394
KR_5372684240,7,3057,229749
KR_5372684240,7,1028,231179
KR_5372684240,7,1036,231378
KR_5372684240,7,2055,232144
KR_5372684240,6,3134,235234
KR_5372684240,8,1027,266801
KR_5372684240,3,1052,293535
KR_5372684240,7,3044,358159
KR_5372684240,7,3364,361632
KR_5372684240,7,2055,361930
KR_5372684240,6,3070,363350
KR_5372684240,6,2031,364076
KR_5372684240,6,2055,371674
KR_5372684240,2,6029,380255
KR_5372684240,2,3044,381216
KR_5372684240,2,2055,381877
KR_5372684240,2,2055,382010
KR_5372684240,8,1052,387733
KR_5372684240,1,1053,392523
KR_5372684240,1,3134,392755
KR_5372684240,1,2031,396942
KR_5372684240,10,3158,397537
KR_5372684240,5,3158,410268
KR_5372684240,4,3802,410928
KR_5372684240,5,3067,411292
KR_5372684240,4,1001,412317
