match_id,participantId,skillSlot,time_stamp
KR_5372684240,7,2,31440
KR_5372684240,3,3,42767
KR_5372684240,2,3,45546
KR_5372684240,6,1,47698
KR_5372684240,8,2,48926
KR_5372684240,4,1,62784
KR_5372684240,10,2,85788
KR_5372684240,1,1,100036
KR_5372684240,7,1,108275
KR_5372684240,9,1,110785
KR_5372684240,5,1,115939
KR_5372684240,2,1,122545
KR_5372684240,8,3,128531
KR_5372684240,3,2,130716
KR_5372684240,7,3,139352
KR_5372684240,5,3,139816
KR_5372684240,4,2,140578
KR_5372684240,9,3,149669
KR_5372684240,6,2,151553
KR_5372684240,10,1,154199
KR_5372684240,8,1,163915
KR_5372684240,1,1,164902
KR_5372684240,1,3,164968
KR_5372684240,3,1,166254
KR_5372684240,2,2,172281
KR_5372684240,6,3,175924
KR_5372684240,7,1,199352
KR_5372684240,4,1,199384
KR_5372684240,5,2,200576
KR_5372684240,3,2,206667
KR_5372684240,8,1,216410
KR_5372684240,6,1,219187
KR_5372684240,9,2,235959
KR_5372684240,3,2,261489
KR_5372684240,1,2,269212
KR_5372684240,2,2,269609
KR_5372684240,7,1,272191
KR_5372684240,9,1,275698
KR_5372684240,8,1,299164
KR_5372684240,1,1,307775
KR_5372684240,5,1,313119
KR_5372684240,10,3,318347
KR_5372684240,4,3,319704
KR_5372684240,6,1,322980
KR_5372684240,3,4,341820
KR_5372684240,2,2,346848
KR_5372684240,8,4,347709
KR_5372684240,9,1,352608
KR_5372684240,1,4,371442
KR_5372684240,5,1,378860
KR_5372684240,4,1,379359
KR_5372684240,3,2,387103
KR_5372684240,7,4,401563
KR_5372684240,9,4,409839
KR_5372684240,6,2,421419
KR_5372684240,2,4,423437
KR_5372684240,10,2,441171
KR_5372684240,7,1,457952
KR_5372684240,4,4,461741
KR_5372684240,3,1,467486
KR_5372684240,2,2,483047
KR_5372684240,8,1,501028
KR_5372684240,6,1,502021
KR_5372684240,9,1,506684
KR_5372684240,1,1,528341
KR_5372684240,3,2,537307
KR_5372684240,10,2,539486
KR_5372684240,7,2,545821
KR_5372684240,5,4,546643
KR_5372684240,1,3,583114
KR_5372684240,4,1,593515
KR_5372684240,8,3,624825
KR_5372684240,2,1,628504
KR_5372684240,9,3,631615
KR_5372684240,7,1,631913
KR_5372684240,6,2,648512
KR_5372684240,4,3,678959
KR_5372684240,10,4,695663
KR_5372684240,5,3,715500
KR_5372684240,3,1,716060
KR_5372684240,2,2,720614
KR_5372684240,7,2,722662
KR_5372684240,9,1,755012
KR_5372684240,10,2,768720
KR_5372684240,1,1,773789
KR_5372684240,4,1,773888
KR_5372684240,8,1,784576
KR_5372684240,3,4,822118
KR_5372684240,5,3,841808
KR_5372684240,2,1,859123
KR_5372684240,6,1,860345
KR_5372684240,4,3,868177
KR_5372684240,8,3,868707
KR_5372684240,1,3,891952
KR_5372684240,7,4,899233
KR_5372684240,9,3,903511
KR_5372684240,6,2,913403
KR_5372684240,5,3,964399
KR_5372684240,8,4,968228
KR_5372684240,10,3,977371
KR_5372684240,2,4,987935
KR_5372684240,4,4,993797
KR_5372684240,3,1,1000317
KR_5372684240,1,4,1051985
KR_5372684240,6,1,1072935
KR_5372684240,5,3,1097697
KR_5372684240,2,1,1100172
KR_5372684240,8,3,1110072
KR_5372684240,7,2,1114249
KR_5372684240,10,2,1114316
KR_5372684240,4,3,1118677
KR_5372684240,3,1,1135326
KR_5372684240,9,4,1146671
KR_5372684240,6,2,1156172
KR_5372684240,2,1,1167048
KR_5372684240,1,3,1177012
KR_5372684240,1,3,1239030
KR_5372684240,10,3,1240977
KR_5372684240,4,3,1243747
KR_5372684240,6,2,1274131
KR_5372684240,7,2,1276350
KR_5383732677,6,2,27022
KR_5383732677,4,3,32978
KR_5383732677,7,3,87219
KR_5383732677,10,1,87450
KR_5383732677,3,3,88774
KR_5383732677,5,1,89530
KR_5383732677,2,2,89530
KR_5383732677,8,2,89662
KR_5383732677,1,2,95285
KR_5383732677,9,1,98016
KR_5383732677,7,2,107608
KR_5383732677,2,1,107805
KR_5383732677,3,1,124190
KR_5383732677,6,3,132660
KR_5383732677,8,1,136282
KR_5383732677,7,1,140719
KR_5383732677,9,3,146588
KR_5383732677,10,2,147047
KR_5383732677,2,3,153788
KR_5383732677,1,3,155729
KR_5383732677,4,1,165311
KR_5383732677,5,3,165705
KR_5383732677,6,1,166330
KR_5383732677,3,1,167485
KR_5383732677,8,3,167518
KR_5383732677,1,1,181779
KR_5383732677,3,2,196296
KR_5383732677,6,1,198339
KR_5383732677,5,2,207183
KR_5383732677,4,2,207612
KR_5383732677,2,1,212145
KR_5383732677,1,1,213260
KR_5383732677,7,2,217500
KR_5383732677,8,1,221655
KR_5383732677,10,3,249682
KR_5383732677,9,2,254065
KR_5383732677,8,1,279008
KR_5383732677,6,1,281678
KR_5383732677,3,1,287906
KR_5383732677,5,2,294228
KR_5383732677,4,3,294822
KR_5383732677,10,1,295150
KR_5383732677,9,1,297422
KR_5383732677,2,1,299759
KR_5383732677,1,1,324187
KR_5383732677,7,2,339264
KR_5383732677,6,4,349072
KR_5383732677,3,4,364442
KR_5383732677,8,4,369510
KR_5383732677,1,4,371217
KR_5383732677,4,3,377898
KR_5383732677,9,1,392751
KR_5383732677,1,1,403330
KR_5383732677,5,2,407084
KR_5383732677,4,4,415879
KR_5383732677,2,4,421750
KR_5383732677,6,1,440947
KR_5383732677,8,1,444971
KR_5383732677,3,1,473669
KR_5383732677,1,3,480421
KR_5383732677,5,4,494859
KR_5383732677,10,1,495518
KR_5383732677,4,3,497197
KR_5383732677,9,4,501614
KR_5383732677,2,1,519574
KR_5383732677,7,4,520731
KR_5383732677,6,3,525568
KR_5383732677,8,2,534090
KR_5383732677,3,3,572811
KR_5383732677,4,1,574456
KR_5383732677,7,2,601076
KR_5383732677,9,1,602553
KR_5383732677,2,3,608383
KR_5383732677,10,4,619441
KR_5383732677,1,1,627752
KR_5383732677,5,2,636604
KR_5383732677,8,1,640860
KR_5383732677,6,1,642471
KR_5383732677,4,3,664912
KR_5383732677,3,1,703402
KR_5383732677,2,1,711164
KR_5383732677,1,3,711657
KR_5383732677,9,3,730956
KR_5383732677,8,2,732898
KR_5383732677,10,1,755430
KR_5383732677,7,3,767082
KR_5383732677,3,3,795618
KR_5383732677,4,1,796800
KR_5383732677,6,3,802817
KR_5383732677,2,3,822861
KR_5383732677,5,3,867119
KR_5383732677,7,2,871584
KR_5383732677,1,4,884587
KR_5383732677,8,4,888476
KR_5383732677,4,4,888871
KR_5383732677,6,4,894933
KR_5383732677,3,4,906575
KR_5368920426,4,1,8482
KR_5368920426,9,1,18855
KR_5368920426,7,1,35734
KR_5368920426,3,1,44817
KR_5368920426,10,1,53437
KR_5368920426,5,1,68639
KR_5368920426,8,1,81491
KR_5368920426,1,1,82417
KR_5368920426,2,2,84101
KR_5368920426,6,3,111221
KR_5368920426,2,1,114591
KR_5368920426,8,2,116704
KR_5368920426,7,2,124565
KR_5368920426,3,3,130147
KR_5368920426,1,3,133020
KR_5368920426,6,1,154890
KR_5368920426,2,3,156905
KR_5368920426,8,3,164338
KR_5368920426,3,2,164800
KR_5368920426,1,1,169522
KR_5368920426,10,3,179931
KR_5368920426,9,1,183599
KR_5368920426,6,2,187859
KR_5368920426,5,3,200117
KR_5368920426,4,2,201141
KR_5368920426,8,1,202363
KR_5368920426,1,2,203915
KR_5368920426,6,1,217265
KR_5368920426,3,1,223343
KR_5368920426,10,2,229917
KR_5368920426,9,1,230479
KR_5368920426,2,1,230545
KR_5368920426,7,3,237714
KR_5368920426,8,1,260078
KR_5368920426,1,1,260837
KR_5368920426,4,3,262655
KR_5368920426,5,2,271775
KR_5368920426,6,1,285649
KR_5368920426,3,1,292288
KR_5368920426,7,1,293279
KR_5368920426,4,1,313963
KR_5368920426,2,1,318652
KR_5368920426,10,1,337316
KR_5368920426,9,3,340156
KR_5368920426,1,2,353466
KR_5368920426,5,2,362584
KR_5368920426,3,4,365919
KR_5368920426,7,1,385775
KR_5368920426,8,4,394896
KR_5368920426,4,1,414687
KR_5368920426,7,4,423176
KR_5368920426,9,1,439559
KR_5368920426,6,4,440385
KR_5368920426,2,4,442333
KR_5368920426,10,1,447025
KR_5368920426,8,1,459545
KR_5368920426,1,1,461361
KR_5368920426,3,1,465027
KR_5368920426,4,4,508365
KR_5368920426,5,2,521906
KR_5368920426,1,2,531916
