match_id,user_num,champion,team_id,win,spell1Id,spell2Id,perk0,perk1,perk2,perk3,perk4,perk5,statperk0,statperk1,statperk2,lane
KR_5372684240,1,236,100,True,4,12,8214,8226,8233,8237,8304,8345,5002,5008,5008,TOP
KR_5372684240,2,5,100,True,11,4,9923,8126,8138,8105,9111,9104,5002,5008,5005,JUNGLE
KR_5372684240,3,7,100,True,12,4,8112,8139,8138,8135,8345,8352,5003,5008,5005,MIDDLE
KR_5372684240,4,115,100,True,4,12,8229,8226,8210,8237,8345,8347,5002,5008,5008,BOTTOM
KR_5372684240,5,48,100,True,14,4,8465,8446,8444,8242,8352,8345,5002,5008,5005,UTILITY
KR_5372684240,6,126,200,False,4,12,8010,8009,9104,8299,8304,8345,5002,5008,5008,TOP
KR_5372684240,7,203,200,False,4,11,8010,9111,9104,8014,8347,8304,5002,5008,5005,JUNGLE
KR_5372684240,8,13,200,False,12,4,8230,8226,8210,8232,8345,8352,5003,5008,5005,MIDDLE
KR_5372684240,9,360,200,False,7,4,8010,8009,9103,8299,8139,8135,5002,5008,5005,BOTTOM
KR_5372684240,10,40,200,False,4,14,8229,8226,8234,8237,8139,8105,5002,5008,5008,UTILITY
KR_5383732677,1,164,100,True,4,12,8005,9111,9104,8299,8401,8473,5003,5008,5008,TOP
KR_5383732677,2,245,100,True,11,4,8128,8143,8138,8135,8347,8304,5002,5008,5005,JUNGLE
KR_5383732677,3,236,100,True,12,4,8005,8009,9103,8299,8345,8347,5003,5008,5005,MIDDLE
KR_5383732677,4,69,100,True,3,4,8010,8009,9105,8299,8139,8135,5002,5008,5008,BOTTOM
KR_5383732677,5,89,100,True,4,14,8439,8463,8473,8242,8306,8316,5002,5002,5007,UTILITY
KR_5383732677,6,13,200,False,12,4,8230,8226,8210,8236,8139,8135,5002,5008,5005,TOP
KR_5383732677,7,5,200,False,11,4,8010,9111,9105,8014,8347,8321,5003,5008,5005,JUNGLE
KR_5383732677,8,101,200,False,12,4,8229,8226,8233,8236,8345,8347,5002,5008,5008,MIDDLE
KR_5383732677,9,360,200,False,1,4,8010,8009,9103,8299,8139,8135,5003,5008,5005,BOTTOM
KR_5383732677,10,12,200,False,4,14,8439,8463,8473,8242,8306,8347,5002,5003,5007,UTILITY
