match_id,participantId,itemId,time_stamp
KR_5183897731,4,1055,3119
KR_5183897731,4,2003,3746
KR_5183897731,4,3340,4077
KR_5183897731,8,2033,4209
KR_5183897731,10,2003,5695
KR_5183897731,10,2003,5827
KR_5183897731,7,1039,5860
KR_5183897731,10,3340,5992
KR_5183897731,7,2031,6355
KR_5183897731,7,3340,6652
KR_5183897731,3,1056,6983
KR_5183897731,10,3858,7313
KR_5183897731,3,2003,7511
KR_5183897731,3,2003,7775
KR_5183897731,5,3858,8337
KR_5183897731,5,2003,8337
KR_5183897731,5,2003,8337
KR_5183897731,5,3340,8601
KR_5183897731,2,1035,8997
KR_5183897731,2,3364,9261
KR_5183897731,2,3340,9493
KR_5183897731,2,2031,9691
KR_5183897731,9,1055,10153
KR_5183897731,9,2003,10648
KR_5183897731,9,3340,10814
KR_5183897731,1,1056,14083
KR_5183897731,1,2003,14083
KR_5183897731,1,2003,14083
KR_5183897731,1,3340,14413
KR_5183897731,6,1054,19730
KR_5183897731,6,2003,20523
KR_5183897731,6,3340,20754
KR_5183897731,10,3364,40701
KR_5183897731,5,3364,67553
KR_5183897731,4,1036,220906
KR_5183897731,4,1036,221171
KR_5183897731,4,2055,222161
KR_5183897731,10,1001,223680
KR_5183897731,10,1028,224572
KR_5183897731,10,3340,228370
KR_5183897731,10,2055,231639
KR_5183897731,1,1052,254393
KR_5183897731,1,2031,254922
KR_5183897731,1,2055,255285
KR_5183897731,3,1052,257531
KR_5183897731,3,1001,258191
KR_5183897731,3,2031,265325
KR_5183897731,3,2055,265788
KR_5183897731,8,3158,274671
KR_5183897731,7,3158,275003
KR_5183897731,8,2055,275267
KR_5183897731,7,3364,275399
KR_5183897731,8,3020,278999
KR_5183897731,3,1033,324989
KR_5183897731,2,3134,334962
KR_5183897731,2,1036,335260
KR_5183897731,2,1036,335392
KR_5183897731,5,3158,343912
KR_5183897731,5,2031,344374
KR_5183897731,6,6029,360590
KR_5183897731,9,6670,360920
