match_id,participantId,skillSlot,time_stamp
KR_5183897731,9,1,14710
KR_5183897731,5,2,33072
KR_5183897731,4,1,49882
KR_5183897731,2,1,52656
KR_5183897731,1,3,53184
KR_5183897731,10,3,59393
KR_5183897731,3,1,60915
KR_5183897731,7,2,62335
KR_5183897731,8,1,86280
KR_5183897731,6,3,102891
KR_5183897731,7,1,106029
KR_5183897731,2,3,106194
KR_5183897731,8,2,123566
KR_5183897731,3,2,124259
KR_5183897731,7,2,137832
KR_5183897731,6,1,141003
KR_5183897731,5,3,142919
KR_5183897731,4,2,143084
KR_5183897731,2,2,145528
KR_5183897731,1,1,156624
KR_5183897731,10,2,159464
KR_5183897731,9,2,160885
KR_5183897731,6,2,161644
KR_5183897731,8,3,161776
KR_5183897731,3,3,166069
KR_5183897731,1,2,179810
KR_5183897731,7,3,192009
KR_5183897731,2,3,202643
KR_5183897731,4,3,205648
KR_5183897731,5,1,207531
KR_5183897731,8,1,207630
KR_5183897731,9,3,210239
KR_5183897731,10,1,210305
KR_5183897731,1,1,217274
KR_5183897731,3,1,220576
KR_5183897731,6,1,233092
KR_5183897731,8,1,252379
KR_5183897731,9,2,256771
KR_5183897731,5,2,280089
KR_5183897731,3,1,284184
KR_5183897731,1,1,288312
KR_5183897731,2,3,295677
KR_5183897731,6,1,299014
KR_5183897731,4,1,303489
KR_5183897731,10,3,317228
KR_5183897731,8,4,336250
KR_5183897731,9,2,338133
KR_5183897731,7,2,342096
KR_5183897731,6,4,350121
KR_5183897731,1,4,352135
KR_5183897731,3,4,353985
KR_5183897731,5,2,397397
KR_5183897731,1,1,413350
KR_5183897731,9,4,423029
KR_5183897731,6,1,430592
KR_5183897731,7,4,442944
KR_5183897731,4,1,446512
KR_5183897731,2,4,449814
KR_5183897731,8,1,456551
KR_5183897731,10,3,458632
KR_5183897731,3,1,475277
KR_5183897731,9,2,478051
KR_5183897731,1,3,481618
KR_5183897731,10,4,490667
KR_5183897731,6,2,523036
KR_5183897731,7,2,529079
KR_5183897731,4,4,531952
KR_5183897731,8,3,539812
KR_5183897731,2,1,547494
KR_5183897731,3,2,568631
KR_5183897731,5,4,568664
KR_5183897731,9,1,575995
KR_5183897731,1,1,593402
KR_5183897731,4,1,618074
KR_5183897731,5,2,620782
KR_5183897731,7,1,634490
KR_5183897731,8,1,634721
KR_5183897731,4,1,640996
KR_5183897731,2,1,659062
KR_5183897731,6,1,676571
KR_5183897731,3,1,690938
KR_5183897731,9,2,698600
KR_5183897731,1,3,706691
KR_5183897731,4,3,714154
KR_5183897731,5,3,723997
KR_5183897731,10,3,729875
KR_5183897731,8,3,756098
KR_5183897731,2,1,781203
KR_5183897731,3,2,791245
KR_5183897731,7,2,792269
KR_5183897731,6,2,796695
KR_5183897731,1,4,818591
KR_5183897731,4,1,848249
KR_5183897731,10,2,849471
KR_5183897731,9,1,853995
KR_5183897731,2,1,864563
KR_5183897731,5,2,873085
KR_5183897731,7,1,898453
KR_5183897731,3,4,942194
KR_5183897731,9,4,942227
KR_5183897731,6,4,947941
KR_5183897731,4,3,960327
KR_5183897731,8,4,995927
KR_5183897731,1,3,1001211
KR_5183897731,2,4,1035302
KR_5183897731,3,2,1037912
KR_5183897731,6,2,1047921
KR_5183897731,4,3,1056111
KR_5183897731,10,3,1059546
KR_5183897731,8,3,1066714
KR_5183897731,9,1,1080784
KR_5183897731,4,4,1083360
KR_5183897731,7,4,1090097
KR_5183897731,5,3,1118105
KR_5183897731,1,3,1118237
KR_5183897731,2,2,1157182
KR_5183897731,3,2,1168114
KR_5183897731,4,3,1192558
KR_5183897731,1,2,1209999
KR_5183897731,5,4,1229620
KR_5183897731,8,3,1259178
KR_5183897731,4,3,1267409
KR_5183897731,2,2,1267574
KR_5183897731,3,3,1269820
KR_5183897731,9,1,1317280
KR_5183897731,1,2,1333495
KR_5183897731,5,3,1353708
KR_5183897731,2,2,1368111
KR_5183897731,6,2,1377558
KR_5183897731,10,2,1385424
KR_5183897731,4,2,1396324
KR_5183897731,3,3,1438501
KR_5183897731,7,1,1449532
KR_5183897731,10,4,1449730
KR_5183897731,9,3,1453858
KR_5183897731,8,2,1456105
KR_5183897731,7,1,1491809
KR_5183897731,6,3,1496961
KR_5183897731,10,2,1512850
KR_5183897731,5,3,1544754
KR_5183897731,2,2,1604477
KR_5183897731,4,2,1604939
KR_5183897731,7,3,1609861
KR_5183897731,9,3,1625350
KR_5183897731,1,4,1686252
KR_5183897731,7,3,1687375
KR_5183897731,3,4,1695598
KR_5183897731,10,2,1743762
KR_5183897731,6,3,1746734
KR_5183897731,2,4,1768169
KR_5183897731,5,1,1768169
KR_5183897731,4,4,1770152
